date,n_positive,n_negative,n_neutral,n_total,neutral_ratio,s1_primary,s2_alternate,s3_prob_weighted,s4_conf_weighted,avg_confidence,avg_pos_prob,avg_neg_prob,avg_neu_prob
2017-06-18,7,12,26,45,0.5778,-0.263158,-0.111111,-0.151703,-0.555556,0.6191,0.2109,0.3626,0.4264
2017-06-19,67,36,78,181,0.4309,0.300971,0.171271,0.086725,0.443038,0.6914,0.3814,0.2946,0.324
2017-06-20,33,31,52,116,0.4483,0.03125,0.017241,-0.042765,0.06383,0.6744,0.3018,0.3445,0.3537
2017-06-21,41,72,93,206,0.4515,-0.274336,-0.150485,-0.166989,-0.320988,0.6797,0.2503,0.4173,0.3324
2017-06-22,63,43,73,179,0.4078,0.188679,0.111732,0.024929,0.123457,0.6867,0.3557,0.3308,0.3135
2017-06-23,34,55,47,136,0.3456,-0.235955,-0.154412,-0.174692,-0.349206,0.7076,0.2635,0.4382,0.2984
2017-06-24,12,8,27,47,0.5745,0.2,0.085106,0.007513,0.176471,0.6697,0.3059,0.2984,0.3957
2017-06-25,4,8,20,32,0.625,-0.333333,-0.125,-0.131904,-0.222222,0.6433,0.2131,0.345,0.4419
2017-06-26,19,30,34,83,0.4096,-0.22449,-0.13253,-0.15403,-0.4,0.6985,0.2628,0.4168,0.3204
2017-06-27,52,56,82,190,0.4316,-0.037037,-0.021053,-0.057043,-0.048193,0.6967,0.3046,0.3616,0.3338
2017-06-28,46,68,83,197,0.4213,-0.192982,-0.111675,-0.154305,-0.309524,0.6841,0.2663,0.4206,0.3131
2017-06-29,57,43,100,200,0.5,0.14,0.07,0.024345,0.294118,0.6671,0.3296,0.3053,0.365
2017-06-30,27,39,62,128,0.4844,-0.181818,-0.09375,-0.125593,-0.307692,0.6902,0.2578,0.3834,0.3588
2017-07-01,24,33,58,115,0.5043,-0.157895,-0.078261,-0.108188,-0.190476,0.6753,0.2638,0.372,0.3642
2017-07-02,22,32,51,105,0.4857,-0.185185,-0.095238,-0.131407,-0.25641,0.6638,0.2606,0.392,0.3474
2017-07-03,56,45,84,185,0.4541,0.108911,0.059459,0.007655,0.15,0.6943,0.3357,0.3281,0.3362
2017-07-04,53,50,75,178,0.4213,0.029126,0.016854,-0.060825,-0.071429,0.6725,0.3058,0.3667,0.3275
2017-07-05,31,40,38,109,0.3486,-0.126761,-0.082569,-0.093246,-0.117647,0.7018,0.2985,0.3917,0.3098
2017-07-06,64,58,79,201,0.393,0.04918,0.029851,-0.016684,0.089888,0.7002,0.3316,0.3483,0.3201
2017-07-07,44,38,56,138,0.4058,0.073171,0.043478,-0.011975,0.160714,0.6907,0.3312,0.3432,0.3257
2017-07-08,20,18,50,88,0.5682,0.052632,0.022727,-0.042256,-0.043478,0.628,0.2735,0.3158,0.4107
2017-07-09,24,12,37,73,0.5068,0.333333,0.164384,-0.00169,0.142857,0.6497,0.302,0.3037,0.3943
2017-07-10,32,42,32,106,0.3019,-0.135135,-0.09434,-0.107221,-0.166667,0.6996,0.2964,0.4036,0.3
2017-07-11,32,25,43,100,0.43,0.122807,0.07,-0.028522,0.0,0.6827,0.3147,0.3433,0.342
2017-07-12,58,38,68,164,0.4146,0.208333,0.121951,0.016668,0.176471,0.6748,0.3545,0.3379,0.3076
2017-07-13,73,63,92,228,0.4035,0.073529,0.04386,-0.011452,0.084906,0.7018,0.3354,0.3468,0.3178
